keywords;Title;classification
Selic down, Bank, Selic stay, Selic down;Banco Central deve manter Selic em 2% depois de nove reduções consecutivas;1
Selic down, Selic;Crise gera oportunidade em fundos imobiliários, defendem gestores;1
bank, Selic;5 aplicações para investir com até R$ 100;0
bank, Selic;Em agosto, Ibovespa esbarra no risco fiscal e afunda aos 99 mil pontos;0
Selic, Selic stay, Selic down ;Copom encerra o primeiro dia de reuniões antes de rever Selic;1
Bank, Basileia down;Agibank tem lucro de R$ 38,7 milhões no 1º semestre, com alta anual de 178,4%;-1
Bank, Basileia up;Banco do Brasil tem queda de 25,3% no lucro do 2º trimestre, para R$ 3,3 bilhões;1
Bank, Basileia up;Banese tem lucro de R$ 8,9 milhões no 2º tri, com queda anual de 60,1%;1
Bank, Basileia;Banpará tem lucro de R$ 134 milhões no 1º semestre de 2020;0
Bank, Basileia;Caixa tem lucro de R$ 2,6 bilhões no 2º trimestre, com queda anual de 39,3%;0
Bank, Basileia;Presidente do Bradesco não crê em consolidação no setor e nega rumor sobre C6 Bank;0
